Index,Code,Glass #,Author,Year,Trademark,Glass_composition,Al2O3,As2O5,B2O3,BaO,BeO,CaO,CdO,Cs2O,Ga2O3,K2O,La2O3,Li2O,MgO,Na2O,P2O5,PbO,Sc2O3,SiO2,SnO2,SrO,TiO2,Y2O3,ZnO,ZrO2,Young's modulus E (GPa),Shear modulus G (GPa),Poisson's ratio v
# 3556,27734,359598,Deriano S.,2004,nan,(Al2O3)2.0 (CaO)5.0 (Na2O)15.0 (SiO2)78.0 ,2,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,78,0,0,0,0,0,0,68.9,29.9,0.195
# 2245,9898,41108,Coenen M.,1961,nan,(B2O3)6.667 (Na2O)33.333 (SiO2)60.0 ,0,0,6.6666672,0,0,0,0,0,0,0,0,0,0,33.333331,0,0,0,60.0000018,0,0,0,0,0,0,79,33,0.25
# 3751,28787,373202,Kodama M.,1999,nan,(B2O3)87.6 (Li2O)12.4 ,0,0,87.6,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,40,15,0.275
# 591,2027,9461,Shaw R.R.,1971,nan,(Li2O)15.0 (SiO2)85.0 ,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,85,0,0,0,0,0,0,76.4,32.15,0.158
# 3558,27734,359600,Deriano S.,2004,nan,(Al2O3)2.0 (MgO)5.0 (Na2O)15.0 (SiO2)78.0 ,2,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,78,0,0,0,0,0,0,66.6,27.6,0.174
# 2611,14940,152088,Abd El-Moneim A,1998,nan,(CaO)5.0 (K2O)3.0 (Na2O)12.0 (PbO)15.0 (SiO2)65.0 ,0,0,0,0,0,5,0,0,0,3,0,0,0,12,0,15,0,65,0,0,0,0,0,0,67,27.03,0.294
# 996,4204,50416,Molot V.A.,1992,nan,(B2O3)21.8 (Na2O)22.0 (SiO2)56.2 ,0,0,21.8,0,0,0,0,0,0,0,0,0,0,22,0,0,0,56.2,0,0,0,0,0,0,76.9,32.6,0.219
# 1238,5798,92560,Singh S.,1989,nan,(B2O3)70.0 (Li2O)5.0 (Na2O)25.0 ,0,0,70,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,67.5,26.68,0.226
# 4533,35365,425188,Abd El Latif L.,2005,nan,(B2O3)49.8 (Na2O)19.84 (SiO2)30.361 ,0,0,49.7996,0,0,0,0,0,0,0,0,0,0,19.83968,0,0,0,30.36072,0,0,0,0,0,0,67.6,27.87,0.257
# 4601,36224,433572,Fukawa Y.,2009,nan,(B2O3)61.0 (Na2O)39.0 ,0,0,61,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,56,21,0.286
# 872,3852,4462,Appen A.A.,1959,nan,(B2O3)16.0 (Na2O)16.0 (SiO2)68.0 ,0,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,68,0,0,0,0,0,0,78.4,32.86,0.23
# 835,3846,12319,Gan Fuxi,1959,nan,(BeO)18.0 (Na2O)12.0 (SiO2)70.0 ,0,0,0,0,18,0,0,0,0,0,0,0,0,12,0,0,0,70,0,0,0,0,0,0,77.4,32.56,0.224
# 3704,28483,380555,El-Adawy A.,2004,nan,(B2O3)78.431 (Na2O)19.608 (TiO2)1.961 ,0,0,78.43137471,0,0,0,0,0,0,0,0,0,0,19.60784118,0,0,0,0,0,0,1.960784118,0,0,0,58.5,23.58,0.281
# 2239,9898,41100,Coenen M.,1961,nan,(B2O3)53.333 (Na2O)33.333 (SiO2)13.333 ,0,0,53.33334,0,0,0,0,0,0,0,0,0,0,33.33333,0,0,0,13.33333,0,0,0,0,0,0,101,41,0.27
# 2242,9898,41103,Coenen M.,1961,nan,(B2O3)33.333 (Na2O)33.333 (SiO2)33.333 ,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,33.33333333,0,0,0,0,0,0,95.2,37.02,0.25267475
# 3757,28787,373208,Kodama M.,1999,nan,(B2O3)75.8 (Li2O)24.2 ,0,0,75.8,0,0,0,0,0,0,0,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,68,26,0.273
# 845,3846,12329,Gan Fuxi,1959,nan,(CaO)18.0 (K2O)12.0 (SiO2)70.0 ,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,70,0,0,0,0,0,0,70.7,29.33,0.235
# 3758,28787,373209,Kodama M.,1999,nan,(B2O3)73.8 (Li2O)26.2 ,0,0,73.8,0,0,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,73,28,0.27
# 4924,39287,460633,Hojamberdiev M.,2012,nan,(CaO)3.0 (Li2O)4.0 (MgO)7.0 (Na2O)13.0 (SiO2)73.0 ,0,0,0,0,0,3,0,0,0,0,0,4,7,13,0,0,0,73,0,0,0,0,0,0,75.9,31.43,0.236
# 3759,28787,373210,Kodama M.,1999,nan,(B2O3)71.8 (Li2O)28.2 ,0,0,71.8,0,0,0,0,0,0,0,0,28.2,0,0,0,0,0,0,0,0,0,0,0,0,78,30,0.268
# 4262,32592,389343,Marzouk S.Y.,2007,nan,(B2O3)72.324 (Na2O)10.832 (SiO2)16.76 (TiO2)0.084 ,0,0,72.32355217,0,0,0,0,0,0,0,0,0,0,10.83202032,0,0,0,16.7603805,0,0,0.084047003,0,0,0,74.9,31.2,0.179
# 3258,26465,308111,Subbalakshmi P.,2002,nan,(P2O5)60.0 (PbO)40.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,45.35,19.605,0.1775
# 3746,28787,373197,Kodama M.,1999,nan,(B2O3)97.8 (Li2O)2.2 ,0,0,97.8,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0.28
# 4994,39802,466083,Mohajerani A.,2012,nan,(Al2O3)8.0 (Li2O)23.0 (Na2O)23.0 (P2O5)46.0 ,8,0,0,0,0,0,0,0,0,0,0,23,0,23,46,0,0,0,0,0,0,0,0,0,69,27,0.25
# 4767,38049,449148,Jindal R.,2011,nan,(Al2O3)16.117 (B2O3)6.41 (Na2O)18.438 (SiO2)59.035 ,16.11700919,0,6.40998468,0,0,0,0,0,0,0,0,0,0,18.43834908,0,0,0,59.03465705,0,0,0,0,0,0,73.4,30.47,0.23
# 4532,35365,425187,Abd El Latif L.,2005,nan,(B2O3)46.054 (Na2O)9.59 (SiO2)44.356 ,0,0,46.05394,0,0,0,0,0,0,0,0,0,0,9.59041,0,0,0,44.35565,0,0,0,0,0,0,45.6,18.55,0.257
# 2704,16508,354480,Le Bourhis E.,2000,nan,(Al2O3)0.348 (CaO)10.125 (MgO)5.87 (Na2O)12.787 (SiO2)70.871 ,0.348027302,0,0,0,0,10.12467007,0,0,0,0,0,0,5.869552041,12.78669009,0,0,0,70.8710605,0,0,0,0,0,0,73,29.1,0.23
# 4531,35365,425186,Abd El Latif L.,2005,nan,(B2O3)44.5 (Na2O)8.8 (SiO2)46.7 ,0,0,44.5,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,46.7,0,0,0,0,0,0,44.5,18.09,0.257
# 4498,35142,423428,Fukawa Y.,2008,nan,(B2O3)53.0 (Li2O)47.0 ,0,0,53,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,78,30,0.272
# 839,3846,12323,Gan Fuxi,1959,nan,(BaO)18.0 (Na2O)12.0 (SiO2)70.0 ,0,0,0,18,0,0,0,0,0,0,0,0,0,12,0,0,0,70,0,0,0,0,0,0,73.6,30.01,0.252
# 4604,36224,433575,Fukawa Y.,2009,nan,(B2O3)55.0 (Na2O)45.0 ,0,0,55,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,55.6,21.15,0.28669315
# 1746,7347,93929,Shinkai N.,1981,nan,(B2O3)50.0 (PbO)12.5 (ZnO)37.5 ,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,37.5,0,83.6,33.7,0.266
# 3780,29015,381947,Gowda V.C.V.,2005,nan,(B2O3)95.0 (Li2O)5.0 ,0,0,95,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21.8,8.49,0.26
# 3750,28787,373201,Kodama M.,1999,nan,(B2O3)89.6 (Li2O)10.4 ,0,0,89.6,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,35,14,0.274
# 254,292,21064,Karapetyan G.O.,1980,nan,(Al2O3)17.351 (Li2O)16.282 (SiO2)62.57 (TiO2)3.797 ,17.35135913,0,0,0,0,0,0,0,0,0,0,16.28172919,0,0,0,0,0,62.57008687,0,0,3.79682481,0,0,0,85.2,35.2,0.23
# 962,3863,12536,Manghnani M.H.,1972,nan,(Na2O)17.5 (SiO2)57.5 (TiO2)25.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,57.5,0,0,25,0,0,0,84.7,35.03,0.228
# 3748,28787,373199,Kodama M.,1999,nan,(B2O3)93.8 (Li2O)6.2 ,0,0,93.8,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0.277
# 3557,27734,359599,Deriano S.,2004,nan,(Al2O3)2.0 (CaO)2.5 (MgO)2.5 (Na2O)15.0 (SiO2)78.0 ,2,0,0,0,0,2.5,0,0,0,0,0,0,2.5,15,0,0,0,78,0,0,0,0,0,0,68.3,28.4,0.187
# 965,3863,12539,Manghnani M.H.,1972,nan,(Na2O)17.5 (SiO2)62.5 (TiO2)20.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,62.5,0,0,20,0,0,0,81.8,33.69,0.233
# 2240,9898,41101,Coenen M.,1961,nan,(B2O3)46.667 (Na2O)33.333 (SiO2)20.0 ,0,0,46.66666467,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,20.000002,0,0,0,0,0,0,123,50,0.25
# 1188,5272,70194,Osaka A.,1974,nan,(B2O3)50.0 (PbO)50.0 ,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,60.7,24.35,0.26727115
# 2542,12969,78270,Schmidt G.,1986,nan,(B2O3)35.0 (BaO)30.0 (SiO2)35.0 ,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,89,35.6,0.271
# 4495,35142,423425,Fukawa Y.,2008,nan,(B2O3)64.0 (Li2O)36.0 ,0,0,64,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,84.5,33,0.2602879
# 4922,39287,460631,Hojamberdiev M.,2012,nan,(CaO)3.0 (MgO)7.0 (Na2O)17.0 (SiO2)73.0 ,0,0,0,0,0,3,0,0,0,0,0,0,7,17,0,0,0,73,0,0,0,0,0,0,68.6,27.67,0.223
# 972,3865,12554,Johnston R.A.,1975,nan,(Na2O)30.0 (SiO2)50.0 (TiO2)20.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,50,0,0,20,0,0,0,74.55,29.235,0.257
# 4996,39802,466085,Mohajerani A.,2012,nan,(Al2O3)8.0 (Na2O)46.0 (P2O5)46.0 ,8,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,51,19,0.32
# 4602,36224,433573,Fukawa Y.,2009,nan,(B2O3)59.0 (Na2O)41.0 ,0,0,59,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,55,21,0.29
# 2243,9898,41105,Coenen M.,1961,nan,(B2O3)20.0 (Na2O)33.333 (SiO2)46.667 ,0,0,20.000002,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,46.66666467,0,0,0,0,0,0,66,25,0.3
# 4993,39802,466082,Mohajerani A.,2012,nan,(Al2O3)8.0 (Li2O)34.5 (Na2O)11.5 (P2O5)46.0 ,8,0,0,0,0,0,0,0,0,0,0,34.5,0,11.5,46,0,0,0,0,0,0,0,0,0,76,30,0.25
# 3752,28787,373203,Kodama M.,1999,nan,(B2O3)85.7 (Li2O)14.3 ,0,0,85.7,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,44,17,0.276
# 1749,7347,93932,Shinkai N.,1981,nan,(B2O3)60.0 (PbO)20.0 (ZnO)20.0 ,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,87.8,34.7,0.249
