Temp_ID,Al2O3,B2O3,BaO,CaO,K2O,Li2O,MgO,Na2O,P2O5,SiO2,SnO2,SrO,TiO2,ZnO,ZrO2,value
0,0,80,0,0,0,0,0,0,0,0,0,0,0,20,0,0.35
1,0,0,0,0,0,0,0,27.34693906,0,72.65306094,0,0,0,0,0,0.345679
2,0,0,0,0,0,0,0,37.8571413,0,62.1428587,0,0,0,0,0,0.344017
3,4,55,0,0,0,10,0,0,0,0,0,0,0,31,0,0.343
4,3.5,55,0,0,0,10,0,0,0,0,0,0,0,31.5,0,0.341
5,3,55,0,0,0,10,0,0,0,0,0,0,0,32,0,0.34
6,0,0,0,0,0,0,0,32.65306122,0,67.34693878,0,0,0,0,0,0.338235
7,0,75,0,0,0,25,0,0,0,0,0,0,0,0,0,0.28720375
8,30,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0.337
9,0,8.800000023,0,0,0,0,0,14.79999991,0,76.40000007,0,0,0,0,0,0.334
10,0,33,0,0,0,0,0,33,0,0,0,0,0,34,0,0.3304
11,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0.33
12,0.5,55,0,0,0,10,0,0,0,0,0,0,0,34.5,0,0.33
13,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0.33
16,0,0,52.5,0,0,0,0,0,47.5,0,0,0,0,0,0,0.33
17,0,0,54.29999924,0,0,0,0,0,45.70000076,0,0,0,0,0,0,0.33
21,2.5,55,0,0,0,10,0,0,0,0,0,0,0,32.5,0,0.33
22,0,56.09999954,0,0,28.90000017,0,0,0,0,15.00000029,0,0,0,0,0,0.329843
23,0,37,0,0,0,0,0,37,0,0,0,0,0,26,0,0.3297
24,0,40,0,0,0,0,0,0,0,0,0,0,0,60,0,0.313
25,0,36.5,0,0,0,0,0,36.5,0,0,0,0,0,27,0,0.329
26,2,55,0,0,0,10,0,0,0,0,0,0,0,33,0,0.329
27,1,55,0,0,0,10,0,0,0,0,0,0,0,34,0,0.328
28,1.5,55,0,0,0,10,0,0,0,0,0,0,0,33.5,0,0.327
29,0,0,0,0,49.99000168,0,9.909999847,0,40.09999847,0,0,0,0,0,0,0.327
31,0,80.79999997,0,0,0,0,0,19.20000003,0,0,0,0,0,0,0,0.323529
32,0,45,0,0,0,0,0,0,0,0,0,0,0,55,0,0.307666667
33,0,0,0,29.16666667,0,0,0,20.83333333,50,0,0,0,0,0,0,0.322857
34,26.70000076,0,0,53.29999924,0,0,0,0,0,20,0,0,0,0,0,0.322
36,0,0,0,0,0,0,0,44.20557927,41.36586304,0,0,0,0,14.42855769,0,0.322
37,0,0,0,0,0,0,0,44.20999908,41.36000061,0,0,0,0,14.43000031,0,0.322
38,31.70000076,0,0,63.29999924,0,0,0,0,0,5,0,0,0,0,0,0.321
39,31.70000076,0,0,63.29999924,0,0,0,0,0,5,0,0,0,0,0,0.321
40,0,0,0,0,0,0,0,38.16999817,40.63000107,0,0,0,0,21.20000076,0,0.321
42,0,96,0,0,0,4,0,0,0,0,0,0,0,0,0,0.320225
43,0,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0.295230769
44,0,63.15789474,0,0,0,0,0,21.05263158,0,0,0,0,0,15.78947368,0,0.32
45,0,0,47.59999847,0,0,0,0,0,52.40000153,0,0,0,0,0,0,0.32
46,8,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0.32
48,0,78.94736842,0,0,0,21.05263158,0,0,0,0,0,0,0,0,0,0.32
49,0,0,44.20000076,0,0,0,0,0,55.79999924,0,0,0,0,0,0,0.32
53,0,0,0,29.89690722,0,0,0,20.6185567,49.48453608,0,0,0,0,0,0,0.31984
54,3.850000021,27.70999992,0,0,0,0,0,0,9.950000111,58.41999994,0.070000002,0,0,0,0,0.319
55,0,0,0,30.6122449,0,0,0,20.40816327,48.97959184,0,0,0,0,0,0,0.318464
56,0,75,0,0,0,5,0,20,0,0,0,0,0,0,0,0.318
57,0,64.92986079,0,0,0,0,15.03005966,0,0,0,0,0,0,20.04007955,0,0.315
